time,mnvel,errvel,svalue,tel,provenance
2454359.710824,-172.02625,20.53,,CORALIE,\citet{triaud_spin-orbit_2010}
2454362.631217,59.33375,20.94,,CORALIE,\citet{triaud_spin-orbit_2010}
2454364.652602,-57.95625,24.6,,CORALIE,\citet{triaud_spin-orbit_2010}
2454365.736906,204.99375,17.78,,CORALIE,\citet{triaud_spin-orbit_2010}
2454372.757994,-153.93625,16.52,,CORALIE,\citet{triaud_spin-orbit_2010}
2454376.688827,-101.01625,16.05,,CORALIE,\citet{triaud_spin-orbit_2010}
2454378.668871,53.17375,14.58,,CORALIE,\citet{triaud_spin-orbit_2010}
2454379.736306,-225.84625,16.24,,CORALIE,\citet{triaud_spin-orbit_2010}
2454380.610348,37.88375,14.37,,CORALIE,\citet{triaud_spin-orbit_2010}
2454382.790257,129.21375,20.15,,CORALIE,\citet{triaud_spin-orbit_2010}
2454383.552773,-239.38625,15.7,,CORALIE,\citet{triaud_spin-orbit_2010}
2454387.619048,-235.89625,16.11,,CORALIE,\citet{triaud_spin-orbit_2010}
2454408.661101,44.17375,18.75,,CORALIE,\citet{triaud_spin-orbit_2010}
2454409.519323,95.65375,24.07,,CORALIE,\citet{triaud_spin-orbit_2010}
2454720.589143,-6.96625,25.32,,CORALIE,\citet{triaud_spin-orbit_2010}
2454722.67492,159.57375,17.27,,CORALIE,\citet{triaud_spin-orbit_2010}
2454725.569004,263.11375,23.29,,CORALIE,\citet{triaud_spin-orbit_2010}
2454729.58876,242.74375,19.67,,CORALIE,\citet{triaud_spin-orbit_2010}
2454730.64604,77.77375,17.53,,CORALIE,\citet{triaud_spin-orbit_2010}
2454760.593166,98.04375,17.49,,CORALIE,\citet{triaud_spin-orbit_2010}
2454761.639625,245.38375,16.91,,CORALIE,\citet{triaud_spin-orbit_2010}
2454762.654627,-37.27625,17.85,,CORALIE,\citet{triaud_spin-orbit_2010}
2454763.603116,-221.54625,17.53,,CORALIE,\citet{triaud_spin-orbit_2010}
2454763.725804,-259.20625,24.55,,CORALIE,\citet{triaud_spin-orbit_2010}
2454762.60256,-165.28571,2.78,,HARPS,\citet{pont_determining_2011}
2454763.6222,-270.32571,2.22,,HARPS,\citet{pont_determining_2011}
2454764.58386,74.43429,3.55,,HARPS,\citet{pont_determining_2011}
2454765.59031,153.04429,3.84,,HARPS,\citet{pont_determining_2011}
2454768.60378,76.88429,2.2,,HARPS,\citet{pont_determining_2011}
2454769.58081,144.34429,2.3,,HARPS,\citet{pont_determining_2011}
2454769.71186,199.04429,1.7,,HARPS,\citet{pont_determining_2011}
2454770.58784,-174.89571,2.35,,HARPS,\citet{pont_determining_2011}
2454770.72474,-40.97571,2.25,,HARPS,\citet{pont_determining_2011}
2454771.57892,-202.90571,2.12,,HARPS,\citet{pont_determining_2011}
2454771.68481,-258.78571,1.88,,HARPS,\citet{pont_determining_2011}
2454772.59125,117.78429,2.51,,HARPS,\citet{pont_determining_2011}
2454773.59429,147.05429,1.75,,HARPS,\citet{pont_determining_2011}
2454773.70377,200.58429,2.42,,HARPS,\citet{pont_determining_2011}
2458715.08167464,-2.49076,2.74481,0.1946,HIRES,This work
2458723.06334445,29.1375,3.1699,0.1752,HIRES,This work
2456151.1250387,2.14951,2.70502,0.228,HIRES,This work
2456152.12045312,247.01789,3.17793,0.182,HIRES,This work
2456168.07374763,228.03329,3.13664,0.252,HIRES,This work
2458662.10006279,-298.00972,2.66793,0.19699999999999998,HIRES,This work
2458663.11009684,-242.34292,2.78003,0.1959,HIRES,This work
2456207.94924515,-32.08322,2.83258,0.19,HIRES,This work
2456532.09390986,222.50817,2.6893,0.23399999999999999,HIRES,This work
2455378.10273151,-162.56245,2.84186,0.19399999999999998,HIRES,This work
