planet,gammadot,gammadot_pluserr,gammadot_minuserr,pl_orbper,Pdot,Pdot_perr,Pdot_merr,K14_significant,comment
HAT-P-2 b,-0.0938,0.0067,0.0069,5.633516,-55.624,3.973,4.092,1,
HAT-P-29 b,0.0498,0.0092,0.01,5.72319,30.002,5.543,6.025,1,
HAT-P-32 b,-0.097,0.023,0.023,2.150008,-21.953,5.205,5.205,1,
WASP-22 b,0.0583,0.0078,0.0074,3.53269,21.68,2.901,2.752,1,
HAT-P-13 b,0.0528,0.0013,0.0014,2.91625,16.208,0.399,0.43,1,
WASP-10 b,-0.048,0.013,0.012,3.092762,-15.627,4.232,3.907,1,
HAT-P-7 b,0.0646,0.004,0.0038,2.20474,14.992,0.928,0.882,1,
HAT-P-4 b,0.0219,0.0035,0.0035,3.056536,7.046,1.126,1.126,1,
WASP-4 b,-0.0422,0.0028,0.0027,1.338231,-5.94,0.39,0.39,1,
HAT-P-10 b,-0.014,0.0032,0.0031,3.722469,-5.486,1.254,1.215,1,
HAT-P-22 b,-0.0147,0.0043,0.0045,3.21222,-4.971,1.454,1.522,1,
HAT-P-11 b,0.0094,0.0016,0.0016,4.887802,4.836,0.823,0.823,1,is_correlated_w_stellar_activity
XO-2 b,0.0126,0.0039,0.0036,2.615862,3.47,1.074,0.991,1,
HAT-P-17 b,0.0,0.0,0.0,10.33852,0.0,0.0,0.0,1,quadratic_so_forced_to_zero
WASP-8 b,0.0,0.0,0.0,8.15872,0.0,0.0,0.0,1,quadratic_so_forced_to_zero
WASP-34 b,0.0,0.0,0.0,4.31768,0.0,0.0,0.0,1,quadratic_so_forced_to_zero
GJ436 b,-0.00137,0.00061,0.00061,2.643904,-0.381,0.17,0.17,0,
HAT-P-12 b,-0.0004,0.0018,0.0019,3.21306,-0.135,0.609,0.643,0,
HAT-P-14 b,-0.0138,0.0062,0.0061,4.62767,-6.722,3.02,2.971,0,
HAT-P-15 b,0.0131,0.0056,0.0059,10.8635,14.98,6.404,6.747,0,
HAT-P-16 b,0.005,0.011,0.01,2.77596,1.461,3.214,2.922,0,
HAT-P-18 b,0.0004,0.0085,0.0077,5.508023,0.232,4.928,4.464,0,
HAT-P-20 b,-0.0141,0.0073,0.0078,2.875317,-4.268,2.209,2.361,0,
HAT-P-24 b,-0.0099,0.0072,0.0071,3.35524,-3.497,2.543,2.508,0,
HAT-P-26 b,0.002,0.002,0.002,4.23452,0.891,0.891,0.891,0,
HAT-P-30 b,0.0112,0.0068,0.0071,2.8106,3.314,2.012,2.101,0,
HAT-P-31 b,0.0054,0.0072,0.007,5.00542,2.845,3.794,3.688,0,
HAT-P-33 b,-0.021,0.02,0.023,3.47447,-7.681,7.315,8.412,0,
HAT-P-34 b,0.071,0.048,0.05,5.45265,40.752,27.551,28.699,0,
HAT-P-6 b,0.0041,0.0019,0.0019,3.85298,1.663,0.771,0.771,0,
HAT-P-8 b,0.0003,0.0034,0.004,3.07634,0.097,1.101,1.295,0,
HD149026 b,-0.00098,-0.00099,-0.00089,2.875889,-0.297,-0.3,-0.269,0,
TrES-2 b,-0.0041,0.006,0.0059,2.47063,-1.066,1.56,1.534,0,
TrES-3 b,0.08,0.053,0.054,1.306186,11.0,7.287,7.425,0,
TrES-4 b,0.015,0.012,0.012,3.55395,5.612,4.489,4.489,0,
WASP-1 b,0.0029,0.0057,0.0056,2.519945,0.769,1.512,1.485,0,
WASP-12 b,-0.0009,0.0097,0.0093,1.09142,-0.103,1.114,1.068,0,
WASP-14 b,0.0062,0.0044,0.0041,2.24375,1.464,1.039,0.968,0,
WASP-15 b,0.052,0.047,0.044,3.7521,20.538,18.563,17.378,0,
WASP-16 b,0.0056,0.0071,0.0072,3.1186,1.838,2.331,2.364,0,
WASP-17 b,0.0002,0.024,0.026,3.73543,0.079,9.437,10.223,0,
WASP-18 b,-0.003,0.0072,0.0077,0.94124,-0.297,0.713,0.763,0,
WASP-19 b,0.065,0.034,0.034,0.788839,5.397,2.823,2.823,0,
WASP-2 b,0.0062,0.0092,0.0092,2.152175,1.405,2.084,2.084,0,
WASP-24 b,-0.062,0.051,0.051,2.34121,-15.28,12.569,12.569,0,
WASP-3 b,-0.0126,0.0091,0.0085,1.84683,-2.45,1.769,1.652,0,
WASP-38 b,-0.074,0.058,0.058,6.87188,-53.529,41.955,41.955,0,
WASP-7 b,0.03,0.04,0.04,4.954642,15.646,20.862,20.862,0,
XO-3 b,-0.019,0.025,0.024,3.19154,-6.383,8.399,8.063,0,
XO-4 b,0.01,0.01,0.01,4.12508,4.342,4.342,4.342,0,
XO-5 b,0.0041,0.0029,0.0029,4.187756,1.807,1.278,1.278,0,
